KODEPT,PT,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID (%),BOBOT VERIFIKASI (%),BOBOT UNGGAH (%),Klaster
44228,Akademi Kebidanan Bandung,6,6,6,10,10,10,5,3,3,3,4,4,4,0,10,10,10,6,6,6,100%,100%,100%,Hijau
44093,Akademi Pariwisata Nasional Indonesia Bandung,6,6,6,10,10,10,6,3,3,3,3,3,3,0,6,6,6,6,6,6,89%,89%,89%,Hijau
42002,Institut Teknologi Nasional Bandung,6,6,6,10,10,10,1,3,3,3,2,2,2,0,10,10,10,6,6,6,100%,100%,100%,Hijau
42027,Institut Teknologi Petroleum Balongan,6,6,6,10,10,10,5,3,3,3,4,4,4,1,3,3,3,6,6,6,80%,80%,80%,Kuning
42005,Institut Teknologi Sains Bandung,6,6,6,10,10,10,7,3,0,0,4,4,4,0,7,7,7,6,6,6,83%,83%,91%,Hijau
45052,Politeknik Lembaga Pendidikan dan Pengembangan Profesi Indonesia,6,6,6,10,10,10,0,3,3,3,4,0,0,1,10,10,10,6,6,6,100%,100%,100%,Hijau
45027,Politeknik Piksi Ganesha,6,6,6,10,10,10,16,3,3,3,4,4,4,6,8,8,8,6,6,6,94%,94%,94%,Hijau
43191,Sekolah Tinggi Farmasi Indonesia,6,6,6,10,10,10,7,3,3,3,1,0,0,0,8,8,8,6,6,6,94%,94%,94%,Hijau
43022,Sekolah Tinggi Ilmu Ekonomi Ekuitas,6,6,6,10,10,10,6,3,3,3,4,2,2,0,10,10,10,6,6,6,100%,100%,100%,Hijau
43128,Sekolah Tinggi Ilmu Ekonomi Gema Widya Bangsa,6,6,6,10,10,10,0,3,3,3,1,0,0,1,10,10,10,6,6,6,100%,100%,100%,Hijau
43089,Sekolah Tinggi Ilmu Ekonomi Mulia Pratama,6,6,6,10,10,10,0,3,3,3,3,3,3,6,10,10,10,6,1,1,86%,86%,100%,Hijau
43074,Sekolah Tinggi Ilmu Ekonomi Yasa Anggana,6,6,6,10,10,10,5,3,3,3,4,0,0,0,9,9,9,6,6,6,97%,97%,97%,Hijau
43231,Sekolah Tinggi Ilmu Kesehatan Banten,6,6,6,10,10,10,3,3,3,3,1,1,1,0,9,9,7,6,6,6,91%,97%,97%,Hijau
43284,Sekolah Tinggi Ilmu Kesehatan Budhi Luhur Cimahi,6,6,6,10,10,10,8,3,3,3,4,0,0,0,9,9,9,6,6,6,97%,97%,97%,Hijau
43220,Sekolah Tinggi Ilmu Kesehatan Respati,6,6,5,10,10,10,1,3,3,3,1,1,1,0,8,8,8,6,6,6,91%,94%,94%,Hijau
43386,Sekolah Tinggi Ilmu Kesehatan RS Dustira,6,6,6,10,10,10,19,3,3,3,1,0,0,0,9,9,9,6,6,6,97%,97%,97%,Hijau
43207,Sekolah Tinggi Ilmu Manajemen Budi Bakti,6,6,6,10,10,10,2,3,3,3,2,2,2,0,10,10,10,6,6,6,100%,100%,100%,Hijau
41134,Universitas Teknologi Bandung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
43290,Sekolah Tinggi Teknologi Duta Bangsa,6,6,6,10,10,10,1,3,3,3,4,4,4,0,8,8,8,6,6,6,94%,94%,94%,Hijau
43218,Sekolah Tinggi Teknologi Fatahillah Cilegon,6,6,6,10,10,10,3,3,3,3,2,2,2,0,5,5,5,6,6,6,86%,86%,86%,Hijau
43234,Sekolah Tinggi Teknologi Ilmu Komputer (STTIKOM) Insan Unggul,6,6,6,10,10,10,0,3,3,3,4,3,3,0,10,10,10,6,6,6,100%,100%,100%,Hijau
